,id,name,type,time_limit,score,passed_minimum,level,price,number_of_questions,quiz_session_number_of_user,quiz_session_avg_user_score,questtions
10,16,TOEIC READING - NEW FORMAT - TEST 1,2,1800,10,5,8,0.0,100,0,0.0,residents began to the area after hearing news the volcano would erupt analysts the country improve its infrastructure to get foreign investment in accordance with market trends food and drink companies healthier images with a wide mr gonzales was re elected president of the south american country the airline avoided a strike by with the pilots' union the report showed the us trade deficit in february union members the privatization of the country's airports scientists new ways to attack the fungus damaging the rice fields the controversial film was nominated eight academy awards the advertising executive resigned over his inappropriate made at a conference about 30000 coffeemakers were after the company received numerous reports of overheating pest control was called to the office over the holiday weekend fears of another interest caused stocks to further decline commercial logging and overgrazing made the land less compact and to landslides in a good year mr issa could eight tons of cocoa shareholders voted to have more influence the executive board's decisions  parliament passed a law that would ban the production and sale of genetically food the company chairman was the acquisition would have a positive financial start although the civil war ended four years ago democratic have yet to be held new packaging helped green plus market its already well known soft drinks according to the satellite survey the amazon rainforest is twice as fast as previously estimated increasing energy stocks and a rise in foreign investments to the rise in hedge funds the celebrity couple sold pictures of their baby for 5 million which to charity the retiring editor named the senior reporter as his 125 a boom in ethanol research and manufacturing jobs throughout small towns across the nation the position requires all candidates to speak english to another european language forrest inc increased its second quarter profit and forecast a large tax settlement continual of trademarks and copyrights increased trade tension in asia the european country unexpectedly raised interest rates in of inflation owners of movie place a popular movie themed restaurant announced a new restaurant in sacramento this summer the oil giant will invest nearly 300 million to research renewable energy although he was widely ignored the lawmaker his colleagues to pass bills supporting energy alternatives to fight rising oil prices and diminishing reserves a large portion of the donation was spent new ways to fight malaria future bank will start offering special incentives to employees who hybrid cars starting september 1 the poem was as beautiful in its english as it was in its original german form after three weeks of the stock market finally closed at a half percent increase city officials hope the new policy will make offenders accountable although it is not on the menu taco town occasionally offers homemade tamales sarah and jonathan will meet this wednesday their presentation graduate students went on strike after losing their union feel the rush of sophistication and class the all new speedlite x class will drive you to a world you have of with more power handling and style the speedlite x class is a revolution auto making quotmotor trend magazine called it ldquocar of the yearrdquo the speedlite x class equipped with power steering 5 speed manual transmission and side curtain airbags as a bonus it also features a satellite navigation system and a built in dvd player change your world today visit your local speedlite dealer hello everyone   as suggested human resources we will be conducting our first diversity workshop next monday the purpose of the workshop is to build about cultural issues staff can sign up for the workshop at the human resources office registration is thank you for your cooperation and understanding frank myers director of human resources calling all koi lovers the gmac convention center will a koi convention may 22 25 from 9 9 admission is 10 there will be a variety of koi from japan on with more than a dozen varieties and sizes of koi on sale a special koi breeding class will be held on sunday at 2 pm class is to 15 participants to sign up for the workshops or for more information please visit wwwgmaccomkoi tour russia's ldquowindow to the westrdquo looking for an exotic vacation rich in both culture and history st petersburg showcases the of russia in one beautiful location by peter the great 300 years ago st petersburg is now the second largest city in russia stroll along the main avenue of nevsky prospekt visit the hermitage museum and czarist castles or attend a ballet or orchestra at famed mariinsky theater cruiseships on the canals of the neva river also offer a spectacular view of the city for information and pricing please visit wwwetravelteamcomrussia what is the main purpose of this e mail what does mr glanz recall what is the main purpose of the e mail what advice does mr bates give to his employees what can be concluded about the house what is not a feature of the house what has been done to improve the house what is compared with the importance of employees and family when will the tournament occur what will happen after the tournament how did ms kahn hear about gilbert's wordworks what does ms kahn want to have made what best describes the style ms kahn prefers what does the article mainly discuss what can be concluded about byron  what is the problem what did mr reilly most like about the store what did mr reilly purchase how did mr reilly feel before making his purchase who is john h what did ms henderson order how many items were ordered how much must ms henderson pay what is not true about ms henderson's order what is playtime who is karen viera   what might be included in baby school books the word debut in paragraph 5 line 3 is closest in meaning to what is being advertised   how much did phil probably pay what does ms deco want to do on saturday at 8 pm  what is implied from the e mail where can ms deco be reached why is the store considered convenient what is not a new department at evers grocery when will the drawing be held what can be implied about ms johnson when is the store opening how much is the base price of the cruise per person why is ms eriksson offering a special rate what does ms eriksson ask of mr alexandersson how long with mr alexandersson be in tallin what country will not be visited what can be not concluded from the e mail how large will ms eastwood's advertisement be what will happen the following week what is being advertised where will the money be donated
11,17,TOEIC READING - NEW FORMAT - TEST 2,2,1800,10,5,8,0.0,100,0,0.0,101 for prices please consult the catalogue 102 payment should be sent by bank in dollars 103 the warehouse will open during the maintenance work 104 attendance at the meeting on the 25th is 105 all visitors must report to on arrival 106 tickets will go sale four weeks before the performance 107 one percent of the cost of construction has been to the purchase of artworks for the lobby 108 critics of the plan fear the new regulations will be impossible to 109 it is hoped that the new packaging will be more to prospective purchasers 110 because of the costs the board is to approve the measures 111 for more information our website wwwbigbusinesscom 112 the movement of the control knobs on the prototype is not yet enough 113 the new painting will in the boardroom 114 january 1st trash will be collected on tuesdays 115 we are interested in becoming the north american for your products and would to like to arrange a meeting to discuss this in detail 116 a loose electrical caused the equipment to overheat 117 the price of copper reached an all time last week 118 this product is shipped in 10 gallon 119 the court decided that the advertisement does not our products 120 we have a dedicated export department for sales 121 the contract states that we retain of the architect's plans 122 the documents have been by a failure to maintain proper storage conditions 123 the bank returned the because it lacked an authorizing signature 124 use of third party accessories with this product will the warranty 125 upon opening confirm contents of this box the enclosed parts list 126 a 30 horsepower motor is available as an optional 127 the restaurant will be closed the health code violations are addressed 128 two thirds of the university's incoming class is from out of state 129 the new pipeline would transport 300000 barrels of oil per day 130 vancouver based m corp has pledged 5 million to help create for the assembly of the aircraft 131 the crossroads shopping plaza has had a 30 percent rate for the past two years 132 troe industries will move its production to in tuscaloosa alabama in 2007 133 on wednesday the company announced layoffs that will affect nearly 7 percent of its 8700 worldwide 134 the city has a history of first rate sporting events 135 the market chain claims that it some 5000 new products to its shelves annually 136 the change in management losses in terms of quarterly net profit have fallen dramatically 137 indirect employment adds nearly 15000 more jobs to those by foreign companies in the state 138 instead of playing safe with its repertoire city opera has continued to risks 139 the ability to program in both c and fortran would be for this position 140 thursday's of tim reynolds as ceo ends seybol inc's seven month search for a top executive 141 during the four quarters of 2005 feather airline's share rose 103 percent compared with bryant airlines' shares which rose only 62 percent 142 in the fourth quarter alone feather airline stock more than to hit 18 per share 143 its closing price last friday was at 2668 per share an high for the airline 144 feather airline's current market is 394 billion ceo values opinions 145 lawrence smith chief executive at dynamic technologies encourages teamwork over competition among managers and business in his company 146 when big must be made she always asks managers to give him two different options with all the positive and 147 negative associated with each option 148 smith is so dedicated to building teamwork that 30 percent of managers' end of the year bonuses are decided by the amount of they put into teamwork quot35th annual bridge race to be held the 35th annual bridge race will be held in potterstown oh next saturday 149 the five kilometer race goes across the bridge and back quot 150 the first bridge race was held in 1971 to inaugurate the potterstown bridge which was built to replace an aging 151 and dilapidated that spanned the fauntleroy river 152 quotthe bridge race has become a major event in potterstown some 15000 people run the race each for more information about the potterstown bridge race visit httpwwwbridgeraceorgquot 153 when did the company change its policies 154  according to the passage which of the following is not a condition required to use the online system 155 what did martha carlson acknowledge about the office furniture 156 which of the following was not part of martha carlson's order 157 according to the passage what kind of parts is the plaster mold casting process used to make 158 what is the lower end of the weight range for parts made using the plaster mold casting technique 159 which of the following metals is mentioned as being used in plaster mold casting 160  in what kind of magazine did margaret dawson's article appear 161 what does mark greenbaum say happened to the letter lisa heller sent 162 what does mark greenbaum invite lisa heller to do 163 what is learned about samantha richards couture 164 what did samantha richards couture do the previous year 165 what is learned about sager brand stores 166 which of the following is not described about the eiffel tower in the brochure 167 on which day is the eiffel tower closed to visitors 168 for how long was the eiffel tower the world's tallest structure 169 from the information in the graph what can be said about the year 2001 170 what general trend is shown by the graph 171 in which year were hardware sales the highest 172 how much support was sold in 2003 173 in which of the following areas does alice kwak claim to have experience 174 which of the following has been included with alice kwak's letter 175 who is rory saunders 176 what does alice kwak describe herself as being 177  in which year was whole milk consumed the most 178 what trend does the graph show 179  what was the per capita milk consumption for skim milk in 1995 180 what is true about the graph 181 where does jason say the package can be found 182 what does jason ask dianne to do 183 when does the package need to get to london 184 how much does it cost to send a package to europe in three days 185 for which kind of package does the table give prices 186 what is learned about andrea langley 187 what will andrea langley do during her first six months at liberty 188 what does scott hartman not ask people to do 189 in which area of law does nancy strong work 190 what does nancy strong say about the case she is working on 191 at what time is amy schneider planning to work on a budget for the following year 192 what does amy schneider have scheduled for 400 pm 193 why does amy schneider apologize to her friend 194  what does amy schneider suggest that her friend do 195 how long does amy schneider expect her meeting with the printer to take 196 where does william chang currently work 197 when did william chang work at hapland worldwide 198  in which area did william chang receive his phd 199  at which school did william chang get his phd 200 what did william chang do in 2004
12,18,TOEIC READING - NEW FORMAT - TEST 3,2,1800,10,5,8,0.0,100,0,0.0,american businesses rely on just in time delivery of inventory and components to improve reduce lead times and trim costs the course will be broken into six modules each of which stands alone as an instructional philanthropists henry and elsie wellman today will announce a 20 million to scripp's cancer institute to provide seed money for promising new cancer research projects attoyot industries is for creating more than 190000 jobs in the past two years making it the state's largest nongovernment employer proper pricing accurate quotations choosing the terms of the sale and selecting the payment method are critical in selling a product or service overseas paul hamilton after 11 seasons as head coach of the elmhurst football team to focus on his responsibilities as the school's athletic director citizens electronics corp needs to downsize to bring it more in line with its shrinking market the report concluded by recommending that a business be hired to help things run more smoothly it four craftsmen about 30 hours to build pholster and finish an authentic brunton black and cherry dining room chair most scientists doubt dr richards' claim to signs of microscopic life on mars the hostetler graz of muchen automotive released the first official photos of its new n class sedan an earthquake struck about 120 miles off northern california early sunday near a larger earthquake occurred last week after loading the worksheet review it to make sure the correct has been loaded into the input cells all hotel suites high speed internet access complimentary breakfast beverages and free laundry and valet services high school students should be offered extra in courses that are required to prepare them for college communicating with color is a proven way to improve the response you get from print materials direct mail and meeting handouts hydrochloric acid is always in the stomach and is a crucial element for proper digestion if your apartment needs contact the office during normal business hours to arrange for a service call mgk research provides research and advice for executives helping them to improve performance and costs with the aid of technology margaret hanzlik received her ba degree in english literature the university of columbus in 2001 in 1962 there were an estimated 10000 computers in the world and although they were by today's standards each cost hundreds of thousands of dollars a two tablespoon of peanut butter contains 122 grams of unsaturated fat and no cholesterol tamara johnson's hand designed bowls cups and plates have become a commercial locally and she now plans to sell her wares on the internet in certain industries rapidly fluctuating can create the twin problems of excess inventory and inventory shortages from the start wilbur's poetry was characterized by a formal and refined that he helped make popular once your registration has been approved your membership will remain effective until the january the company hired a consulting to help with introducing the new product to the boston area all first year master's degree students at the daniels institute are required to take an introductory oceanography course of their previous aca demic background the survey concluded that the two day convention provided the city with a total estimated economic of 85 million our products are warranted to be free of in materials and workmanship many theorists contend that constructivism represents a viable model for explaining how mathematics according to studio estimates issued on sunday the new adventure film has earned 711 million across the united states and canada opening on wednesday when diablo inc took over its former partner last month it demonstrated an of the growing importance of retail applications southern star energy currently more than 130 oil wells in texas and oklahoma the industrial revolution was driven by profound social as europe moved from a primarily agricultural and rural economy to a capitalist and urban economy most airlines offer discounts for travelers making through their web sites if the computer is not installed and used in accordance with the manufacturer's instructions it may cause with radio and television reception heat related problems are more likely to occur among workers who have not been given time to working in the heat economic growth in many countries will be until chinese demand for asian goods picks up we are located 1075 bellevue way just north of bellevue square mall in belgate plaza it is never too to start thinking about your child's or your grandchild's education at resident investment services our financial consultants are ready to help you get started as as you want whether it's a 529 college savings plan an ugmautma custodial account or simply a mutual fund we have the to help you find the option that's right for you so stop by any one of our branches or give us a call our financial consultants are ready you through all your college planning needs one step at a time oil prices may fall next year as output rises analysts said in a recent the increase in prices has encouraged producers to in new equipment and develop new fields analysts expect that crude oil traded in london will average 5230 barrel in the third quarter respondents expect crude to average 5050 this year and 4650 next year london crude futures touched 6026 a barrel today the highest since the contract was in 1988 water and electricity are a dangerous which is why there are so many regulations governing such matters as the use of electrical voltage limits and types of electrical outlet permitted in wet areas however regulations vary greatly between countries from the types of switches and outlets allowed the room to the needed before someone can tackle electrical work in bathrooms however regulations vary greatly between countries from the types of switches and outlets allowed the room to the needed before someone can tackle electrical work in bathrooms what special service does anytime office supplies offer according to the advertisement where can anytime office supplies' products be purchased what does the report say was damaged on the mars argo spacecraft which of the following is true about the mars argo spacecraft according to the memorandum when did the most recent power failure occur which part of the campus has back up generators who will handle power failures at the university after normal working hours what did pollock's co purchase what is learned about hj pollock's co which of the following products is pollock's not planning to sell what is the nti designed to do how is the nti designed to be worn which claim is made about the nti what does marcus silver want leo payne to do which of the following is a claim marcus silver makes about marketing communications what does marcus silver hope dusty parker shannon monroe and elisa banks will do according to the graph what is the cost of producing 10000 new vision 225 band saws according to the review how was the ldquohistory of costumerdquo first published how many units does mercury need to sell before revenue becomes equal to costs what is the total revenue from selling 40000 units what trend does the graph show which of the following is said to be included in the book what does the review state is a problem with the book according to the reviewer who might find the book useful who will be in charge of the new hydrogen energy station how much hydrogen will the new station produce each day the word sustainablein paragraph 2 line 4 is closest in meaning to what is true about the great program what warning does wellcraft make about its burner how can the burner pressure be adjusted which problem does james e bay report with his burner what does james e bay want wellcraft to do what does james e bay state regarding wellcraft how much does joseph bloom need to send to patriot gas company how many cubic feet of gas does one ccf represent what does the commodity charge represent how much is the per unit delivery charge which of the following is true regarding joseph bloom's bill on how many days of the week does karen diamond's son receive after school meals what is learned about fairview's after school meal program what complaint about the third meal program does karen diamond make which of the following meals was not served to karen diamond's son what does karen diamond ask to do what is tara branson's job what is learned about the internet marketing conference what is expected to be the focus on the second day of the internet marketing conference what does tara branson claim to have done what does tara branson offer to do
13,32,READING COMPREHENSION TEST 7,2,1800,10,5,8,0.0,20,0,0.0,a this story is mainly about b the king of france c henry v d joan of arc was successful because a this story is mainly about b garibaldi was c when garibaldi started out italy was d garibaldi is mostly known for a neptune takes b mercury takes c the earth travels around the sun d planets a a flash of light in the sky might be b we can see a meteor because c meteors found in museums d a meteor heats up because a we know that something is a liquid because b the atoms of mercury c mercury will not be absorbed by a towel because d this story is mainly about
14,13,READING COMPREHENSION TEST 8,2,1800,10,5,8,0.0,20,0,0.0,this story is mainly about crabs drop their coats the form of a grown up crab the new shell this story is mainly about the west indian land crab the trek to the sea the word quothostquot is this story refers to this story is mainly about the oil in this crab comes from this crab makes its home the word quotnativesquot refers to this story is mainly about a byssus is mussels can hold onto rocks because the quotfootquot of the mussel this story is mainly about quotcrabbyquot means once a claw has been lost the lobster a lobster's shell
15,14,READING COMPREHENSION TEST 9,2,1800,10,5,8,0.0,20,0,0.0,this story is mainly about when they die some sea animals leave behind the white cliffs of dover formed because some train tunnels this story is mainly about oxygen and hydrogen some heat on the ocean floor comes from one heat producing element is this story is mainly about another word for quotswellsquot is empty spaces allow room for a material to the sun causes materials to this story is mainly about the part of corn that we eat is pollen makes it possible for kernels to become pollen travels in this story is mainly about water in the dead sea is heavier than the reason for the heaviness of dead sea water is quotequal partsquot means
16,15,READING COMPREHENSION TEST 10,2,1800,10,5,8,0.0,20,0,0.0,this story is mainly about as air heats up it over dry land the air wind this story is mainly about scientifically a fruit for dessert people are likely to eat scientifically examples of fruits are this story is mainly about burning requires the oxygen in our bodies comes from clothes this story is mainly about a fish opens and closes its mouth a person when fishes drink this story is mainly about calories oily foods provide a lot of calories therefore we can say that one degree centigrade is a measure of
17,35,GRAMMAR QUIZ - 1. Speaking already,2,1800,10,5,8,0.0,10,0,0.0,can you hear what he is she hasnt come home i tv yesterday evening we live the city centre she looks a famous film star this television gives you the news i only one mistake in last nights test i want you to tell me the truth he is looking a present to buy his girlfriend thats what i would like christmas
18,36,GRAMMAR QUIZ - 2. Drive carefully,2,1800,10,5,8,0.0,10,0,0.0,you must not drink and then a car please be when you cross this road do what you like i really dont if you want to that book remember to bring it back when your train arrives ill you from the station i always get early in the summer when you first meet someone you usually shake them the hand i have never her before the teacher asked her students to do their the police officer told the children always to tell the
19,37,GRAMMAR QUIZ - 3. Listen v. Hear,2,1800,10,5,8,0.0,10,0,0.0,im terribly sorry but i what you said just now and i wonder if you could repeat it i attentively to the lecture on philosophy but i still didnt understand much of it can you me all right over there because you are rather a long way away i what you are saying but that still doesnt make me want to change my mind one little bit i to the concert every monday on the radio and i imagine i am there listening to it in person i should explain that he finds it very difficult to follow your conversation because he is very hard of now will you please me and pay attention to what im saying because its very important youve been making so much noise with your music that people at the far end of the road can you he sometimes pretends he cant a single word you are saying but all the time hes taking it all in i have been strange stories about you recently but i do hope that there is no substance in them
20,38,GRAMMAR QUIZ - 4. Finish v. End,2,1800,10,5,8,0.0,10,0,0.0,the brothers will school both together at the end of this year they wanted their daughter to improve her social skills and sent her to the famous school in switzerland you cant miss it its that tall building right at the of the road sadly their marriage of 25 years in divorce it didnt take long for the children to off the cakes and pastries that had not been eaten at the party he thought they would all share the cost of the meal but unfortunately he up paying for everybody after the children had doing their homework the whole family watched television you could tell the time by him because he always work at exactly the same time every day ive written practically the whole book except for the last part and i just dont know how to the story to most people it seemed like a long and successful relationship and so it was a great surprise to learn that they had with each other
21,39,GRAMMAR QUIZ - 5. Start v. Begin,2,1800,10,5,8,0.0,10,0,0.0,i my car to make sure it worked about ten minutes before i drove to work my car very rarely first time when the weather is really cold we off early on the first day of summer so that we could see the sun rise i read the of that book but i couldnt possibly read the whole story i cant to understand why anyone would want to be cruel to animals he off at me again simply because i had forgotten to lock the back door after i came home i won a lot of money by betting on that horse but it was simply a case of luck as far as i was concerned when the accident happened it was the of the end who would like to off the debate i would greatly appreciate it if you didnt up that old argument again
22,40,GRAMMAR QUIZ - 6. Modal Verbs,2,1800,10,5,8,0.0,10,0,0.0,i go to see the doctor last week because i was very ill i could bought that car but i didnt have enough money to pay for the petrol i go now because i am already late for my class i may able to come to your party if i have the time do you clean the house every day or every week i speak french without a problem now because i have had many lessons they do their homework today because it is a holiday at the school i help you with your shopping because you have a lot of bags when will you come and see us in our new house i may go to paris next week because there is a very big exhibition there
23,41,GRAMMAR QUIZ - 7. How to use the articles,2,1800,10,5,8,0.0,10,0,0.0,i only want little sugar in my tea please in end we decided not to go to the cinema but to watch television it is important sometimes to stop and look around you at all the wonderful things it is book that i have ever read i want to go to the cinema to see a film about and the french can anyone give me please because i have just fallen over the interesting thing about is all the roads that they built in britain she always said that when she grew up she wanted to be i have left my book in and i would like you to get it for me are you studying foreign languages at school like
